model	type	1	2	3	4	5	overall
fitbit_regression	train	0.1819987304847582	0.9726481303293586	1.9789013801933455	2.966861164132277	3.9209157066867517	0.678593818933324
fitbit_regression	test	0.19236541320815398	1.037875881815392	1.9647438827829091	2.9093308065399377	3.8758042023987787	0.6713615717946823
comb_regression	train	0.4457009277824518	0.6382621360727716	1.540107411069509	2.382555838347857	3.4202892513539327	0.644872886973685
comb_regression	test	0.44359615909772787	0.663728046341535	1.493514185211993	2.412170557643845	3.131709867960715	0.627516520119343
fitbit_nw_regression	train	0.8902014344210907	1.784326740420655	2.7982255456040432	3.801553238098176	4.829128914071935	1.2708763156980487
fitbit_nw_regression	test	0.8947230637304368	1.8404124812443527	2.7938642440069326	3.6749677903197595	4.708637846605257	1.2638317637872505
comb_nw_regression	train	0.21805321038068978	0.7207014295769989	1.6168620938559033	2.5145304887386803	3.6777753457954203	0.5760506712593145
comb_nw_regression	test	0.23293083626929098	0.787318843107691	1.7484249111128005	2.655613901604857	3.5545119022133087	0.5931126788018259
