model	data	accuracy	sensitivity	specificity	AUC
comb_base_weighted	train	0.23828125	1.0	0.0	0.747724562712853
comb_base_weighted	test	0.25097024579560157	1.0	0.0	0.6539536705660309
comb_base	train	0.7885044642857143	0.13817330210772832	0.991941391941392	0.8245103842293537
comb_base	test	0.7477360931435963	0.06701030927835051	0.9758203799654577	0.6609244520413796
fitbit_base_weighted	train	0.23828125	1.0	0.0	0.6846419778504088
fitbit_base_weighted	test	0.25097024579560157	1.0	0.0	0.6061909086053096
fitbit_base	train	0.76953125	0.0351288056206089	0.9992673992673993	0.7943588027897162
fitbit_base	test	0.7503234152652005	0.015463917525773196	0.9965457685664939	0.6190107366059506
