model	data	1	2	3	4	5	overall
comb_base_weighted	train	1.51665853011816	0.8610900176838184	0.5494066594383595	0.44883029894477133	0.44875918785667623	1.4101024622932028
comb_base_weighted	test	1.5112564658549685	0.8784920315856898	0.6310431222942189	0.9425731417907834	2.0683623718852866	1.4174686025738321
comb_base	train	0.2689153648944928	0.5876786450108398	1.2725501461738367	2.078386782902845	3.090213688449673	0.5041682294326973
comb_base	test	0.33178989225602573	0.7230804328092173	1.6021167629707316	2.5193585973103407	3.4809358212775883	0.5993358794802152
fitbit_base_weighted	train	1.541816890829628	0.8392741262117986	0.5657541182291379	0.6856531175379634	1.071020057168159	1.4332138039245244
fitbit_base_weighted	test	1.5566863959629622	0.8979643598941185	0.6816886987121034	1.3757285841300417	2.353805955542784	1.465175428052361
fitbit_base	train	0.1934556848631643	0.7567997642363758	1.6324584489308893	2.4270071645391242	3.4095420371050795	0.5645356173790027
fitbit_base	test	0.2187062648286706	0.8617293705063321	1.7851515400710813	2.643833279694759	3.577214594100313	0.6059697024304646
