model	type	AUC	accuracy	sensitivity	specificity
fitbit_classification	train	0.7705038131267641	0.7784598214285714	0.09836065573770492	0.9912087912087912
fitbit_classification	test	0.6366290974484982	0.7464424320827943	0.05154639175257732	0.9792746113989638
comb_classification	train	0.7346578480067942	0.7739955357142857	0.08196721311475409	0.9904761904761905
comb_classification	test	0.6666310560333316	0.7606727037516171	0.08762886597938144	0.9861830742659758
fitbit_nw_classification	train		0.7667410714285714	0.02576112412177986	0.9985347985347985
fitbit_nw_classification	test		0.7503234152652005	0.020618556701030927	0.9948186528497409
comb_nw_classification	train		0.76171875	0.0	1.0
comb_nw_classification	test		0.7490297542043984	0.0	1.0
