model	type	AUC	accuracy	sensitivity	specificity
fitbit_classification	train	0.6806049532044849	0.7684151785714286	0.04918032786885246	0.9934065934065934
fitbit_classification	test	0.6106155297971975	0.7451487710219923	0.04639175257731959	0.9792746113989638
comb_classification	train	0.7344982885966493	0.7779017857142857	0.1358313817330211	0.9787545787545787
comb_classification	test	0.6454961451489416	0.7425614489003881	0.08762886597938144	0.9620034542314335
fitbit_nw_classification	train		0.76953125	0.12177985948477751	0.9721611721611721
fitbit_nw_classification	test		0.7373868046571799	0.08762886597938144	0.9550949913644214
comb_nw_classification	train		0.7689732142857143	0.04449648711943794	0.9956043956043956
comb_nw_classification	test		0.7516170763260026	0.04639175257731959	0.9879101899827288
