model	data	accuracy	sensitivity	specificity	AUC
comb_base_weighted	train	0.24274553571428573	1.0	0.005860805860805861	0.6360055245301147
comb_base_weighted	test	0.2522639068564036	1.0	0.0017271157167530224	0.5870902551501879
comb_base	train	0.7823660714285714	0.1288056206088993	0.9868131868131869	0.726894339072325
comb_base	test	0.7451487710219923	0.08762886597938144	0.9654576856649395	0.6129213183056461
fitbit_base_weighted	train	0.23828125	1.0	0.0	0.6133266421322627
fitbit_base_weighted	test	0.25097024579560157	1.0	0.0	0.5770257999038514
fitbit_base	train	0.7645089285714286	0.01873536299765808	0.9978021978021978	0.6769694006227964
fitbit_base	test	0.7477360931435963	0.020618556701030927	0.9913644214162349	0.6116571408222495
