model	type	accuracy	sensitivity	specificity
fitbit_classification	train	0.76953125	0.12177985948477751	0.9721611721611721
fitbit_classification	test	0.7373868046571799	0.08762886597938144	0.9550949913644214
comb_classification	train	0.7689732142857143	0.04449648711943794	0.9956043956043956
comb_classification	test	0.7516170763260026	0.04639175257731959	0.9879101899827288
