model	type	1	2	3	4	5	overall
fitbit_regression	train	0.3137392862360061	0.6154270899653361	1.5355408164996307	2.4918867067206043	3.5031340055324423	0.5830700200565339
fitbit_regression	test	0.3272900175364271	0.6728783368235732	1.5496903817822538	2.4967984680745547	3.4634563846653252	0.5834797238403904
comb_regression	train	0.24987002808899433	0.6847909090343339	1.6398647908555137	2.5782514136562136	3.599203996605317	0.5846378663372099
comb_regression	test	0.2502033032846837	0.7492137602479828	1.644877345257625	2.6000500197367464	3.612932310009279	0.5816923857561903
